strategy,params,sample,total_return,max_drawdown,sharpe_ratio,win_rate,total_trades
SMA Crossover,"{""fast_ma"": 5, ""slow_ma"": 30, ""sl_stop"": 0.05, ""tp_stop"": 0.05}",0,0.5505121527988974,-0.4036560001631877,2.203125318433921,0.5172413793103449,58
SMA Crossover,"{""fast_ma"": 5, ""slow_ma"": 30, ""sl_stop"": 0.05, ""tp_stop"": 0.05}",1,4.597223488512563,-0.2692500329044917,5.7955140554172315,0.647887323943662,71
SMA Crossover,"{""fast_ma"": 5, ""slow_ma"": 30, ""sl_stop"": 0.05, ""tp_stop"": 0.05}",2,-0.12471586758691246,-0.2763011776152975,-1.0193808079351738,0.3333333333333333,15
SMA Crossover,"{""fast_ma"": 5, ""slow_ma"": 30, ""sl_stop"": 0.05, ""tp_stop"": 0.05}",3,-0.12147644946553755,-0.2419696611972284,-0.7307078217144716,0.4166666666666667,24
SMA Crossover,"{""fast_ma"": 5, ""slow_ma"": 30, ""sl_stop"": 0.05, ""tp_stop"": 0.05}",4,0.04162426563030276,-0.27382628603673775,0.6158422132784683,0.5714285714285714,35
SMA Crossover,"{""fast_ma"": 5, ""slow_ma"": 30, ""sl_stop"": 0.05, ""tp_stop"": 0.05}",5,0.1840171397156535,-0.2437539920737648,1.4513035966659265,0.5,28
SMA Crossover,"{""fast_ma"": 5, ""slow_ma"": 30, ""sl_stop"": 0.05, ""tp_stop"": 0.05}",6,0.974571199669445,-0.21522831558714772,3.0956228784669815,0.5614035087719298,57
SMA Crossover,"{""fast_ma"": 5, ""slow_ma"": 30, ""sl_stop"": 0.05, ""tp_stop"": 0.05}",7,0.08731569892583811,-0.28106563195913425,0.9307878439987592,0.4,25
SMA Crossover,"{""fast_ma"": 5, ""slow_ma"": 30, ""sl_stop"": 0.05, ""tp_stop"": 0.05}",8,0.1723709074661914,-0.37635351673982353,1.205668847967248,0.5116279069767442,43
SMA Crossover,"{""fast_ma"": 5, ""slow_ma"": 30, ""sl_stop"": 0.05, ""tp_stop"": 0.05}",9,-0.1606877846379386,-0.41117544640652726,-0.9589491331099298,0.4,25
SMA Crossover,"{""fast_ma"": 5, ""slow_ma"": 30, ""sl_stop"": 0.03, ""tp_stop"": 0.05}",0,0.12346710221844259,-0.24412973685337458,1.0508040694154401,0.4473684210526316,38
SMA Crossover,"{""fast_ma"": 5, ""slow_ma"": 30, ""sl_stop"": 0.03, ""tp_stop"": 0.05}",1,4.016647021158686,-0.23326747413426052,5.069256058827999,0.5247524752475248,101
SMA Crossover,"{""fast_ma"": 5, ""slow_ma"": 30, ""sl_stop"": 0.03, ""tp_stop"": 0.05}",2,5.12599765365555,-0.2332674741342602,5.558083489906513,0.5392156862745098,102
SMA Crossover,"{""fast_ma"": 5, ""slow_ma"": 30, ""sl_stop"": 0.03, ""tp_stop"": 0.05}",3,0.12418209862156673,-0.5054492530665003,1.0038125477452033,0.4444444444444444,63
SMA Crossover,"{""fast_ma"": 5, ""slow_ma"": 30, ""sl_stop"": 0.03, ""tp_stop"": 0.05}",4,0.09987409451559852,-0.29564837490315976,0.9235443243902896,0.5333333333333333,45
SMA Crossover,"{""fast_ma"": 5, ""slow_ma"": 30, ""sl_stop"": 0.03, ""tp_stop"": 0.05}",5,0.2528007388543911,-0.2244010869372185,1.719970421256232,0.525,40
SMA Crossover,"{""fast_ma"": 5, ""slow_ma"": 30, ""sl_stop"": 0.03, ""tp_stop"": 0.05}",6,0.05950922326460895,-0.16348666000631762,0.750086453650564,0.42857142857142855,28
SMA Crossover,"{""fast_ma"": 5, ""slow_ma"": 30, ""sl_stop"": 0.03, ""tp_stop"": 0.05}",7,0.14185090140121812,-0.20961584033615133,1.3715161570145076,0.4230769230769231,26
SMA Crossover,"{""fast_ma"": 5, ""slow_ma"": 30, ""sl_stop"": 0.03, ""tp_stop"": 0.05}",8,3.5426216279070193,-0.219528346214655,5.223596372696783,0.5393258426966292,89
SMA Crossover,"{""fast_ma"": 5, ""slow_ma"": 30, ""sl_stop"": 0.03, ""tp_stop"": 0.05}",9,-0.2599071830771278,-0.35586425297836366,-2.0700653588972533,0.34375,32
SMA Crossover,"{""fast_ma"": 5, ""slow_ma"": 30, ""sl_stop"": 0.1, ""tp_stop"": 0.05}",0,0.002345466993903028,-0.35002035425198785,0.3310581699308558,0.5263157894736842,19
SMA Crossover,"{""fast_ma"": 5, ""slow_ma"": 30, ""sl_stop"": 0.1, ""tp_stop"": 0.05}",1,0.16974572058497142,-0.2748005523862418,1.4997533965550862,0.391304347826087,23
SMA Crossover,"{""fast_ma"": 5, ""slow_ma"": 30, ""sl_stop"": 0.1, ""tp_stop"": 0.05}",2,-0.11766698794431268,-0.3085118393364128,-0.26767301132933324,0.48484848484848486,33
SMA Crossover,"{""fast_ma"": 5, ""slow_ma"": 30, ""sl_stop"": 0.1, ""tp_stop"": 0.05}",3,-0.24197349484953665,-0.41246068231941513,-1.0760225362562117,0.5666666666666667,30
SMA Crossover,"{""fast_ma"": 5, ""slow_ma"": 30, ""sl_stop"": 0.1, ""tp_stop"": 0.05}",4,0.5160615448273633,-0.2406705607404196,2.973274803072551,0.6538461538461539,26
SMA Crossover,"{""fast_ma"": 5, ""slow_ma"": 30, ""sl_stop"": 0.1, ""tp_stop"": 0.05}",5,-0.2403229112444883,-0.40157757577389164,-1.7670141337078162,0.3,20
SMA Crossover,"{""fast_ma"": 5, ""slow_ma"": 30, ""sl_stop"": 0.1, ""tp_stop"": 0.05}",6,0.23474405184710867,-0.3386114601386889,1.7708908158250423,0.5,20
SMA Crossover,"{""fast_ma"": 5, ""slow_ma"": 30, ""sl_stop"": 0.1, ""tp_stop"": 0.05}",7,-0.25880065922756657,-0.4091612034835037,-0.9118736328014715,0.5,24
SMA Crossover,"{""fast_ma"": 5, ""slow_ma"": 30, ""sl_stop"": 0.1, ""tp_stop"": 0.05}",8,-0.3838344590274978,-0.3958328956226036,-3.1924622178729005,0.35294117647058826,17
